날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2025-01-01,62256,59663,57880,57098,56966,57442,58338,58868,58090,54566,51542,49062,47670,47922,49914,53489,58061,62545,64403,64403,63653,62722,62249,61871
2025-01-02,59219,57092,55931,55597,56374,58691,63081,70103,77832,77627,74052,70141,65601,67941,70016,73169,76318,77503,76379,74902,72276,69663,69473,68787
2025-01-03,65330,63074,61755,60993,61499,63432,67664,74049,80523,79274,75218,71534,67409,70601,73431,76306,78869,79167,77242,75448,73036,70538,70455,69823
2025-01-04,66212,63730,62110,61330,61280,62336,63885,65585,66303,63983,60589,57407,54974,56438,57926,60564,64045,67049,68094,67459,66352,64800,65825,66178
2025-01-05,63136,60441,58702,57840,57795,58438,59510,60502,61796,63031,63633,63689,63396,63447,63051,63464,64652,67227,67984,67151,65972,64410,64053,63852
2025-01-06,60988,58637,57519,57064,57794,59963,64281,71188,80157,83343,83402,80743,76686,79275,80270,81354,82392,82002,80253,78321,75205,72673,72170,71262
2025-01-07,67442,65028,63798,63142,63521,65423,69580,76275,83905,84067,81412,78847,75772,79509,81657,82578,83816,83944,82130,79874,76653,73934,73389,72477
2025-01-08,68827,66164,64624,64000,64175,66175,70197,76607,84471,85705,84067,81544,77916,80958,82440,83709,84497,83833,82089,80174,77248,74675,74372,73549
2025-01-09,69935,67613,66170,65678,66191,67928,72013,78398,86700,88715,87741,85690,81808,84569,86925,88704,90705,90221,87930,85465,81732,78493,77385,76658
2025-01-10,72985,70400,68784,67831,68109,69885,73751,80270,88120,89452,87255,83400,78149,79845,80758,82622,85353,85784,83684,81415,78480,75833,75178,74473
2025-01-11,70903,68289,66602,65572,65269,66018,67526,69535,71305,70256,67604,65202,62478,63463,64821,67121,69423,71600,72458,71603,70317,68950,69604,70017
2025-01-12,66865,64336,62712,61624,61667,62251,63399,64557,64825,62140,59565,56750,55176,55464,56996,59807,64048,68441,70172,69792,68783,67323,66648,66183
2025-01-13,63557,61468,60223,59786,60392,62844,67593,75338,83820,85286,83008,79303,74315,77395,79652,81654,83694,83596,81643,79523,76240,73558,73060,72082
2025-01-14,68279,65713,64131,63302,63575,65393,69156,75172,82457,83831,81255,77282,72849,75416,77111,78948,81074,81646,80255,78345,75321,72593,72361,71596
2025-01-15,67951,65380,63856,63209,63940,66034,70224,76573,83464,82666,80135,76580,72424,75153,76868,79141,81925,83370,82206,80270,77229,74648,74056,73305
2025-01-16,69429,66915,65419,64450,64590,66313,70162,76199,83944,85908,84294,80654,76332,78875,79723,80314,81355,82186,80980,79186,76246,73671,73400,72701
2025-01-17,69036,66485,64804,64058,64422,66266,69968,75835,82514,81695,77843,73341,68247,70212,71913,74072,77227,78547,77911,76910,74784,72578,72312,71841
2025-01-18,68095,65399,63830,62991,62996,63944,65678,67713,68666,65769,62790,59577,56615,57896,59837,62534,65119,67484,68811,68449,67344,66170,66905,66779
2025-01-19,63606,61056,59456,58687,58632,59245,60421,61531,61428,58999,56439,54473,53250,53353,54316,56936,60260,64168,66566,66505,65573,64562,63978,63535
